n,heapsort.ticks
150000,26999716
180000,32893650
210000,38842468
240000,44838369
270000,50858731
300000,57003375
330000,63169697
360000,69399032
390000,75636567
420000,81886489
450000,88186056
480000,94446691
510000,100743406
540000,107113457
570000,113521673
600000,119982783
630000,126483368
660000,132962009
690000,139459695
720000,146000256
750000,152512888
780000,159093317
810000,165609267
840000,172194142
870000,178768776
900000,185348705
930000,191932787
960000,198518067
990000,205060020
1020000,211680937
1050000,218265699
1080000,225015292
1110000,231775787
1140000,238475310
1170000,245247053
1200000,252005169
1230000,258780698
1260000,265499062
1290000,272337142
1320000,279133711
1350000,285965882
1380000,292789822
1410000,299567750
1440000,306438929
1470000,313200113
