n,heapsort.time
150000,76
180000,103
210000,128
240000,155
270000,202
300000,236
330000,267
360000,305
390000,334
420000,375
450000,412
480000,459
510000,507
540000,545
570000,651
600000,672
630000,682
660000,723
690000,772
720000,858
750000,872
780000,926
810000,974
840000,1115
870000,1117
900000,1135
930000,1163
960000,1241
990000,1265
1020000,1313
1050000,1347
1080000,1432
1110000,1438
1140000,1575
1170000,1584
1200000,1656
1230000,1690
1260000,1762
1290000,1788
1320000,1839
1350000,1886
1380000,1950
1410000,1974
1440000,2046
1470000,2182
